user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-12-01,30.9,42.6,active,23,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-03-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-04-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-05-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-06-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-07-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-08-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-09-01,0.0,0.0,deactive,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-10-01,19.8,0.0,new,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-11-01,50.82000000000001,19.8,active,14,False,uk
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-12-01,76.23,50.82000000000001,active,14,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-03-01,0.0,0.0,deactive,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-04-01,0.0,0.0,deactive,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-05-01,0.0,0.0,deactive,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-06-01,14.7,0.0,new,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-07-01,33.75,14.7,active,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-08-01,26.310000000000002,33.75,active,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-09-01,30.509999999999998,26.310000000000002,active,26,False,uk
